data_name,size,algorithm,execution_time,memory_usage,comparisons,swaps,recursion_depth,correctness,error
triangular_data,5000,QuickSortLomuto_random,0.026818700003786944,0.0,73408,46088,29,True,
triangular_data,5000,QuickSortHoare_random,0.025425200001336634,0.0,95585,20356,29,True,
triangular_data,5000,QuickSortLomuto_median_of_three,0.5186185000056867,0.140625,1512540,1466626,1032,True,
triangular_data,5000,QuickSortHoare_median_of_three,0.04408770000009099,0.0,173395,20515,52,True,
triangular_data,5000,QuickSortLomuto_median_of_random_three,0.0329490000003716,0.0,60643,34028,20,True,
triangular_data,5000,QuickSortHoare_median_of_random_three,0.03868710000097053,0.0,81928,20928,22,True,
triangular_data,5000,QuickSortDualPivot,0.10866329999407753,0.01953125,281964,283985,263,True,
triangular_data,5000,QuickSortThreeWay,0.035277000002679415,0.0,56236,56236,18,True,
few_unique_data,5000,QuickSortLomuto_last,0.9040894999998272,0.12890625,2514236,2520251,1038,True,
few_unique_data,5000,QuickSortHoare_last,0.021295200000167824,0.0,72774,31875,16,True,
few_unique_data,5000,QuickSortLomuto_random,0.8878575999988243,0.14453125,2509946,2513989,1036,True,
few_unique_data,5000,QuickSortHoare_random,0.02613329999439884,0.0,71565,31890,17,True,
few_unique_data,5000,QuickSortLomuto_median_of_three,0.9096525999993901,0.15234375,2515252,2521268,1038,True,
few_unique_data,5000,QuickSortHoare_median_of_three,0.031250899999577086,0.0,72003,31850,16,True,
few_unique_data,5000,QuickSortLomuto_median_of_random_three,0.9106709999978193,0.1328125,2514087,2519134,1037,True,
few_unique_data,5000,QuickSortHoare_median_of_random_three,0.04032590000133496,0.0,71377,31968,16,True,
few_unique_data,5000,QuickSortDualPivot,0.20979240000451682,0.046875,1260777,10991,520,True,
few_unique_data,5000,QuickSortThreeWay,0.003550000001268927,0.0,11873,6883,3,True,
identical_elements,10000,QuickSortLomuto_last,17.12276749999728,1.8984375,49995000,50014998,9998,True,
identical_elements,10000,QuickSortHoare_last,0.05774340000061784,0.0,149214,74607,13,True,
identical_elements,10000,QuickSortLomuto_random,17.122645999996166,1.65234375,49995000,50014998,9998,True,
identical_elements,10000,QuickSortHoare_random,0.08462150000559632,0.0,149214,74607,13,True,
identical_elements,10000,QuickSortLomuto_median_of_three,17.6116278000045,1.65234375,49995000,50014998,9998,True,
identical_elements,10000,QuickSortHoare_median_of_three,0.06467440000415081,0.0,149214,74607,13,True,
identical_elements,10000,QuickSortLomuto_median_of_random_three,17.107217600001604,1.71875,49995000,50014998,9998,True,
identical_elements,10000,QuickSortHoare_median_of_random_three,0.08264060000510653,0.0,149214,74607,13,True,
identical_elements,10000,QuickSortDualPivot,3.98106060000282,0.84375,25000000,10000,4999,True,
identical_elements,10000,QuickSortThreeWay,0.0015188999968813732,0.0,9999,1,0,True,
sorted_data,10000,QuickSortLomuto_last,17.078119500001776,1.84765625,49995000,50014998,9998,True,
sorted_data,10000,QuickSortHoare_last,5.272687500000757,1.60546875,50024997,19998,9998,True,
sorted_data,10000,QuickSortLomuto_random,0.05589440000039758,0.0,151450,87690,28,True,
sorted_data,10000,QuickSortHoare_random,0.046375500001886394,0.0,194730,17127,31,True,
sorted_data,10000,QuickSortLomuto_median_of_three,0.04364700000587618,0.0,113631,66421,12,True,
sorted_data,10000,QuickSortHoare_median_of_three,0.04438340000342578,0.0,151647,16665,14,True,
sorted_data,10000,QuickSortLomuto_median_of_random_three,0.06321749999915482,0.0,137027,75743,22,True,
sorted_data,10000,QuickSortHoare_median_of_random_three,0.06742110000050161,0.0,175482,16287,24,True,
sorted_data,10000,QuickSortDualPivot,4.913952400005655,0.828125,25000000,10000,4999,True,
sorted_data,10000,QuickSortThreeWay,0.08626489999733167,0.0,131467,137165,20,True,
random_data,10000,QuickSortLomuto_last,0.052773099996556994,0.0,162494,104827,31,True,
random_data,10000,QuickSortHoare_last,0.04902179999771761,0.0,207771,40532,33,True,
random_data,10000,QuickSortLomuto_random,0.051627900000312366,0.0,151057,87202,29,True,
random_data,10000,QuickSortHoare_random,0.055305699999735225,0.0,197019,41338,30,True,
random_data,10000,QuickSortLomuto_median_of_three,0.060222100000828505,0.0,134532,83304,21,True,
random_data,10000,QuickSortHoare_median_of_three,0.05602839999482967,0.0,181873,43639,30,True,
random_data,10000,QuickSortLomuto_median_of_random_three,0.06520089999685297,0.0,134348,85225,23,True,
random_data,10000,QuickSortHoare_median_of_random_three,0.07989129999623401,0.0,176196,43904,25,True,
random_data,10000,QuickSortDualPivot,0.03806069999700412,0.0,91646,70461,16,True,
random_data,10000,QuickSortThreeWay,0.07774079999944661,0.0,129212,134861,24,True,
almost_sorted_data,10000,QuickSortLomuto_last,2.823521199999959,0.31640625,9799635,7709267,2154,True,
almost_sorted_data,10000,QuickSortHoare_last,1.817288099999132,0.5625,16787193,19998,3631,True,
almost_sorted_data,10000,QuickSortLomuto_random,0.056643800002348144,0.0,154504,85933,33,True,
almost_sorted_data,10000,QuickSortHoare_random,0.04538920000049984,0.0,210300,17195,33,True,
almost_sorted_data,10000,QuickSortLomuto_median_of_three,0.24260189999768045,0.12890625,2228000,38854,956,True,
almost_sorted_data,10000,QuickSortHoare_median_of_three,0.0438501999960863,0.0,159800,16677,16,True,
almost_sorted_data,10000,QuickSortLomuto_median_of_random_three,0.0651242000021739,0.0,128598,76439,21,True,
almost_sorted_data,10000,QuickSortHoare_median_of_random_three,0.06708740000613034,0.0,170574,16343,24,True,
almost_sorted_data,10000,QuickSortDualPivot,0.42082590000063647,0.06640625,2082355,364218,674,True,
almost_sorted_data,10000,QuickSortThreeWay,0.17391560000396566,0.0,131425,137151,21,True,
reverse_sorted_data,10000,QuickSortLomuto_last,12.03952940000454,1.63671875,49995000,25014998,9998,True,
reverse_sorted_data,10000,QuickSortHoare_last,5.182799700000032,1.59375,50019997,14998,9998,True,
reverse_sorted_data,10000,QuickSortLomuto_random,0.05639250000240281,0.0,154565,92882,30,True,
reverse_sorted_data,10000,QuickSortHoare_random,0.04742890000488842,0.0,193462,22153,30,True,
reverse_sorted_data,10000,QuickSortLomuto_median_of_three,0.07185839999874588,0.0,225614,144252,29,True,
reverse_sorted_data,10000,QuickSortHoare_median_of_three,0.04407579999679001,0.0,151645,21664,14,True,
reverse_sorted_data,10000,QuickSortLomuto_median_of_random_three,0.06310649999795714,0.0,129146,73561,21,True,
reverse_sorted_data,10000,QuickSortHoare_median_of_random_three,0.06815679999999702,0.0,169460,21704,25,True,
reverse_sorted_data,10000,QuickSortDualPivot,4.091544100003375,0.828125,25000000,15000,4999,True,
reverse_sorted_data,10000,QuickSortThreeWay,0.08420309999928577,0.0,136476,142180,22,True,
triangular_data,10000,QuickSortLomuto_last,2.739698399993358,0.32421875,6012547,5902270,2059,True,
triangular_data,10000,QuickSortHoare_last,0.13984009999694536,0.0,529335,41900,111,True,
triangular_data,10000,QuickSortLomuto_random,0.08591950000118231,0.0,147148,82882,26,True,
triangular_data,10000,QuickSortHoare_random,0.055044399996404536,0.0,197314,43255,29,True,
triangular_data,10000,QuickSortLomuto_median_of_three,2.1894766000041272,0.3046875,5973613,5872412,2057,True,
triangular_data,10000,QuickSortHoare_median_of_three,0.08150970000133384,0.0,398315,43376,88,True,
triangular_data,10000,QuickSortLomuto_median_of_random_three,0.06385030000092229,0.0,134168,71940,22,True,
triangular_data,10000,QuickSortHoare_median_of_random_three,0.07094809999398421,0.0,167647,45389,22,True,
triangular_data,10000,QuickSortDualPivot,0.38341980000404874,0.05078125,1051339,1055786,520,True,
triangular_data,10000,QuickSortThreeWay,0.07204120000096736,0.0,133868,133868,21,True,
few_unique_data,10000,QuickSortLomuto_last,3.3412164999972447,0.3125,10019397,10027418,2012,True,
few_unique_data,10000,QuickSortHoare_last,0.04895859999669483,0.0,161245,68406,20,True,
few_unique_data,10000,QuickSortLomuto_random,3.321456899997429,0.30859375,10021395,10027439,2014,True,
few_unique_data,10000,QuickSortHoare_random,0.055290700001933146,0.0,152077,68663,19,True,
few_unique_data,10000,QuickSortLomuto_median_of_three,3.3638232000012067,0.29296875,10015425,10025452,2014,True,
few_unique_data,10000,QuickSortHoare_median_of_three,0.12997089999407763,0.0,152240,68800,17,True,
few_unique_data,10000,QuickSortLomuto_median_of_random_three,4.362774399996852,0.30078125,10013414,10023440,2013,True,
few_unique_data,10000,QuickSortHoare_median_of_random_three,0.08270529999572318,0.0,153514,68810,17,True,
few_unique_data,10000,QuickSortDualPivot,0.8731359000012162,0.15234375,5020214,20017,1007,True,
few_unique_data,10000,QuickSortThreeWay,0.006100300000980496,0.0,21993,12003,2,True,
identical_elements,15000,QuickSortLomuto_last,37.78450779999548,2.6875,112492500,112522498,14998,True,
identical_elements,15000,QuickSortHoare_last,0.12823180000123102,0.0,234502,117251,13,True,
identical_elements,15000,QuickSortLomuto_random,37.795329100001254,2.52734375,112492500,112522498,14998,True,
identical_elements,15000,QuickSortHoare_random,0.13801219999731984,0.0,234502,117251,13,True,
identical_elements,15000,QuickSortLomuto_median_of_three,38.666955799999414,2.55078125,112492500,112522498,14998,True,
identical_elements,15000,QuickSortHoare_median_of_three,0.09304020000126911,0.0,234502,117251,13,True,
identical_elements,15000,QuickSortLomuto_median_of_random_three,37.92278900000383,2.4921875,112492500,112522498,14998,True,
identical_elements,15000,QuickSortHoare_median_of_random_three,0.12441489999764599,0.0,234502,117251,13,True,
identical_elements,15000,QuickSortDualPivot,9.6967300000033,1.2890625,56250000,15000,7499,True,
identical_elements,15000,QuickSortThreeWay,0.0025335999962408096,0.0,14999,1,0,True,
sorted_data,15000,QuickSortLomuto_last,38.02941609999834,2.96484375,112492500,112522498,14998,True,
sorted_data,15000,QuickSortHoare_last,12.5373724999954,2.48828125,112537497,29998,14998,True,
sorted_data,15000,QuickSortLomuto_random,0.09000070000183769,0.0,247218,142250,30,True,
sorted_data,15000,QuickSortHoare_random,0.06587939999735681,0.0,292562,25782,31,True,
